customer_id;first_name;last_name;email;gender;age;city;state;product_id;product_name;brand;category;price
47;Brenda;Peterson;anthony20@schmidt-martin.org;Male;56;Glovertown;Nevada;47;Allow X;LG;Books;281.93
48;Mike;Lewis;kyle17@wilson-lyons.com;Male;39;Hutchinsontown;Maine;48;Hear Pro;LG;Books;612.6
49;Rhonda;Stein;ccline@morris.net;Female;20;Carlsonview;Louisiana;49;Food Max;Lenovo;Electronics;1028.02
50;James;Garcia;kimberlymiller@barr.com;Male;56;Rogersbury;Mississippi;50;Manager Max;Adidas;Toys;1824.22
51;Diana;Sanders;ucox@yahoo.com;Male;18;New John;Minnesota;34;Health Max;LG;Clothing;194.47
52;Jason;Nguyen;henryrandy@hotmail.com;Female;30;West Brandonshire;Hawaii;9;Network Max;Sony;Clothing;1587.97
53;Mary;Meyer;murphycraig@yahoo.com;Male;58;East Teresafurt;Maine;9;Policy Max;Adidas;Toys;1441.66
54;Curtis;Davis;melaniedaniels@yahoo.com;Female;53;East Joshuaside;Nebraska;8;Thank Pro;Adidas;Toys;1122.38
55;Michelle;Ryan;rwatts@rose-williams.com;Male;44;Gonzalezchester;Missouri;38;Skin X;Dell;Home & Kitchen;1622.58
56;Amy;Hall;matthewcook@gmail.com;Female;40;West Elizabethton;South Carolina;7;Point X;LG;Books;715.43
57;Rebecca;Wade;hernandezdeborah@hotmail.com;Female;35;Jonesport;Mississippi;35;With X;Nike;Books;1300.8
58;Stacey;Schneider;wmaldonado@garcia.com;Male;61;Port Kathryn;New Mexico;11;Pressure Pro;Samsung;Home & Kitchen;1481.94
59;Matthew;Leblanc;vanessa78@butler.com;Male;36;New Andrewfurt;Massachusetts;3;Policy X;Adidas;Clothing;1219.77
60;Teresa;Meyer;hreese@scott-bennett.info;Female;18;Benjaminhaven;New Hampshire;40;Learn Lite;Dell;Clothing;996.05
61;Mark;Roberts;bsingleton@hotmail.com;Female;20;South Stephaniebury;Oregon;41;Born X;Adidas;Toys;283.03
62;Phillip;Ayala;ehurst@hotmail.com;Male;39;East Andrew;Pennsylvania;1;More Lite;Sony;Electronics;1997.65
63;Katherine;Perez;sanderson@yahoo.com;Male;62;South Judy;Washington;9;Cultural Lite;Sony;Electronics;388.19
64;Valerie;Rodriguez;williamsnicholas@richardson.net;Female;27;Kingside;Arkansas;46;Idea Max;Dell;Home & Kitchen;1859.62
65;Autumn;Bird;chunter@hotmail.com;Male;38;Tuckershire;Idaho;31;Dream Lite;Adidas;Electronics;98.45
66;Debra;Dawson;manuelcarter@gmail.com;Female;55;Morenofort;Florida;17;Since X;Lenovo;Toys;1246.49
67;Michael;Taylor;frhodes@bowers-owen.biz;Female;56;Barryport;Texas;1;Career Pro;LG;Clothing;808.88
68;Jennifer;Gomez;richard96@yahoo.com;Female;64;Danielhaven;New Mexico;31;Wind Max;LG;Books;1652.24
69;Jack;Brooks;heatherowens@hotmail.com;Male;27;Port Zoe;Texas;43;Republican Pro;Adidas;Clothing;1316
70;Morgan;Anderson;coltonnelson@hotmail.com;Female;28;West Kyleshire;Wyoming;46;Right Max;Samsung;Toys;1028.81
71;Amber;Smith;lchandler@osborne.com;Female;37;Ramirezbury;Vermont;2;Know Lite;Sony;Books;929.78
72;Nicole;Smith;jimenezchristopher@stokes-clark.com;Female;44;Holtstad;Rhode Island;25;Tv Max;Adidas;Toys;1726.06
73;Tyler;Smith;kristingay@hotmail.com;Male;49;South Angela;South Carolina;3;Cover Lite;Sony;Electronics;1982.67
74;Patricia;Contreras;johnsondavid@watts.net;Female;46;Lake Monicachester;Massachusetts;5;Any Lite;Adidas;Books;1030.41
75;Logan;Valdez;amy38@cohen-knapp.com;Male;22;West Barbara;Michigan;41;Board Lite;Samsung;Clothing;892.51
76;David;Brown;reillywilliam@perry.com;Female;38;North Jessicachester;West Virginia;12;Career X;Lenovo;Electronics;797.99
77;Stephanie;Petty;watsondan@miller.com;Female;50;Kristinshire;West Virginia;5;Agency X;Nike;Electronics;1383.42
78;John;Carson;tmorgan@gmail.com;Male;60;Johnburgh;Oregon;23;Guess Max;Sony;Home & Kitchen;1540.21
79;Kyle;Edwards;brownreginald@gmail.com;Female;64;Lambertberg;Rhode Island;34;Others Pro;LG;Clothing;57.31
80;Teresa;Smith;fischercassie@campbell-moody.org;Female;23;West Brittney;Kansas;12;Contain X;Nike;Clothing;1961.48
81;Michael;Bryant;douglasrichmond@ayala.com;Female;20;Port Austin;Oregon;4;Boy Max;Adidas;Electronics;1148.7
82;Jason;Archer;nhernandez@nunez.info;Female;22;Goldenfurt;Massachusetts;40;President Lite;Sony;Books;203.8
83;Molly;Coleman;chelsea08@hotmail.com;Female;38;South Richardmouth;Idaho;28;Other X;Sony;Books;1133.35
84;Anthony;Hunter;dray@gmail.com;Male;61;Margaretstad;Maine;19;Think Pro;LG;Electronics;176.04
85;Donald;Banks;boydjacqueline@mccall.com;Female;20;New Lee;Massachusetts;41;Plan Pro;LG;Toys;692.62
86;Megan;Bailey;wcase@price.com;Female;35;New Bryanport;Kansas;38;The Pro;Dell;Home & Kitchen;1377.38
87;Amanda;Lewis;fullerpaul@yahoo.com;Female;58;New Shelbyborough;Louisiana;3;Fly X;Sony;Clothing;416.36
88;Donna;Flores;woodsjohn@bates.com;Female;52;New Nancyside;Vermont;41;Think Lite;Apple;Home & Kitchen;1842.48
89;Anthony;Thomas;dmcclain@yahoo.com;Female;63;Jamieview;Oregon;24;Live X;LG;Home & Kitchen;1310.56
90;Danielle;Nguyen;phillipmoon@sharp-fuentes.com;Male;33;South Crystalfort;Virginia;36;Agent Lite;Lenovo;Books;1174.06
91;Robert;Davis;justinaustin@yahoo.com;Male;54;Davisberg;Ohio;11;Especially X;Apple;Books;795.69
92;Rita;Collins;shermandaniel@moore.com;Female;63;New Jamie;New Mexico;49;Radio Max;Adidas;Books;1018.54
93;Steven;Williams;yodertiffany@kelly-santiago.com;Male;47;Cartermouth;Utah;15;Agent Max;Nike;Home & Kitchen;123.94
94;Crystal;Ibarra;eatonerin@yahoo.com;Male;60;Morganshire;Arkansas;39;Defense Pro;Samsung;Home & Kitchen;1914.6
95;Kristi;Brown;ntorres@green.com;Male;35;Emilyhaven;Alaska;9;Catch Pro;Apple;Toys;919.4
96;Ebony;Cruz;masonjohn@yahoo.com;Male;36;New Judy;Wisconsin;29;Issue Lite;Adidas;Toys;165.16
97;Amy;Sanchez;simsadam@chambers-hamilton.com;Female;19;Justinton;Illinois;28;Treat Lite;Sony;Books;474.12
98;James;Shannon;hmarshall@oneill-yu.com;Female;36;Alishamouth;Kentucky;32;Always X;Apple;Home & Kitchen;874.46
99;Jennifer;Martinez;pattyallen@wall-frazier.info;Female;57;Lake Laurenshire;Arizona;50;Should Pro;Dell;Clothing;1759.98
100;Melanie;Osborne;jesse87@haas.org;Female;59;Katieton;Tennessee;42;Begin Lite;Samsung;Toys;1713.05
